name,fname,lname,email,phone,position,address,city,country,linkedin,activity
Mohammed Bellaouss,Mohammed,Bellaouss,,,Cybersecurity,,,Morocco,,Technology | Space Tech | Software Services
Nizar Morsli,Nizar,Morsli,,,cybersecurity engineer,,,Morocco,,Technology | Space Tech | AR/VR/MR & Gaming | Data Centres | Cyber security | Artificial Intelligence | 3D Printing & Printing Services
Laila Barghach,Laila,Barghach,,,Cybersecurity intern,,,Morocco,,Technology | Cyber security | Cloud Services | Artificial Intelligence
Soufiane Talbi,Soufiane,Talbi,,,Cyber Security Consultant,,,Morocco,,Technology | Data Centres | Cyber security
Radouane Bouradouan,Radouane,Bouradouan,,,Cybersecurity,,,Morocco,,Technology | Networking & Infrastructure | AR/VR/MR & Gaming | Data Centres | Cyber security | Cloud Services | Blockchain
Mehdi Sekhsoukhi,Mehdi,Sekhsoukhi,,,Security and network administrator,,,Morocco,,Data Centres | Cyber security | Artificial Intelligence
Abdessamad Ait El fakir,Abdessamad,Ait El fakir,,,Cybersecurity intern,,,Morocco,,Technology | Space Tech | Software Services | Smart Cities | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Internet of Things (IOT) | Gaming | Ecommerce | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications | 3D Printing & Printing Services
Aymen ELMANNANY,Aymen,ELMANNANY,,,Cybersecurity,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications
Loukmane Ayach,Loukmane,Ayach,,,Network Security Administrator,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Quantum & High Performance Computing | Networking & Infrastructure | Gaming | Data Centres | Cyber security | Cloud Services | Blockchain | Artificial Intelligence | 5G & Telecommunications
Hoda Lamkaidam,Hoda,Lamkaidam,,,Network & Security Administrator,,,Morocco,,"Technology | Software Services | Networking & Infrastructure | Media, Marketing & Advertising Tech | HealthTech | Education Tech | Data Centres | Cyber security | Artificial Intelligence"
Hassan OU SERHIR,Hassan,OU SERHIR,,,CyberSecurity Area Manager,,,Morocco,,Technology | Data Centres | Cyber security | Cloud Services | Artificial Intelligence | 5G & Telecommunications
Wassim baloul,Wassim,baloul,,,CyberSecurity,,,Morocco,,Technology | Space Tech | Software Services | Internet of Things (IOT) | Gaming | Ecommerce | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence
Abdelhamid Belodi,Abdelhamid,Belodi,,,Cyber Security Expert,,,Morocco,,Technology | Software Services | Retail Tech | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | HealthTech | Energy Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications
Hatim elguebbass,Hatim,elguebbass,,,Data Scientist,,,Morocco,,Technology | Software Services | Internet of Things (IOT) | Digital Finance | Data Centres | Cyber security | Big Data & Analytics | Artificial Intelligence
Souhail MARDI,Souhail,MARDI,,,Cyber security,,,Morocco,,Technology | Space Tech | Networking & Infrastructure | Internet of Things (IOT) | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications
Tarik EL ANKOUD,Tarik,EL ANKOUD,,,CyberSecurity Engineer,,,Morocco,,Data Centres | Cyber security | Artificial Intelligence | 5G & Telecommunications
Chaymae Moussaid,Chaymae,Moussaid,,,Cybersecurity,,,Morocco,,Technology | Cyber security | Cloud Services | 5G & Telecommunications
Sanaa Ghoufari,Sanaa,Ghoufari,,,Cybersecurity,,,Morocco,,Technology | Networking & Infrastructure | Cyber security | Cloud Services
Soufiyane Elaoud,Soufiyane,Elaoud,,,Cyber security engineer,,,Morocco,,Software Services | Networking & Infrastructure | Cyber security
Yassine Bendidi,Yassine,Bendidi,,,Junior Cybersecurity Engineer,,,Morocco,,Cyber security | Big Data & Analytics | Artificial Intelligence
Lahoucine Darif,Lahoucine,Darif,,,Cyber Security,,,Morocco,,Technology | Cyber security | Artificial Intelligence
Mohammed Louzi,Mohammed,Louzi,,,System Administrator,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Cyber security
Mouaad Mazzi,Mouaad,Mazzi,,,Cyber Security Engineer,,,Morocco,,Networking & Infrastructure | Cyber security | Cloud Services
Aziz HOSNI,Aziz,HOSNI,,,Consultant Senior Network and Security,,,Morocco,,Technology | Networking & Infrastructure | Cyber security
Yassine Nait Belkassem,Yassine,Nait Belkassem,,,Cyber Security Senior Architect,,,Morocco,,Data Centres | Cyber security | Cloud Services
Soufiane bennis,Soufiane,bennis,,,Cyber Security,,,Morocco,,Technology | Gaming | Cyber security
Ilyas Machhoul,Ilyas,Machhoul,,,Cyber security,,,Morocco,,Technology | Cyber security | Big Data & Analytics | Artificial Intelligence
Soulaymane HOURMAT ALLAH,Soulaymane,HOURMAT ALLAH,,,Cybersecurity Analyst,,,Morocco,,Technology | Smart Manufacturing | Smart Cities
Said Bouraqadi,Said,Bouraqadi,,,Cyber Security Business Unit Manager,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Quantum & High Performance Computing | Networking & Infrastructure | Digital Finance | Cyber security | Consumer Tech, Smart Home & Smart Workplace | Blockchain | Artificial Intelligence"
Anass moumni,Anass,moumni,,,Offensive Security Consultant,,,Morocco,,Cyber security | Blockchain | Artificial Intelligence
Lamini Hajar,Lamini,Hajar,,,Cyber Security,,,Morocco,,Technology | Software Services | Cyber security
Ryad Serkouh,Ryad,Serkouh,,,Cyber Security Consultant,,,Morocco,,Industry: Technology | Company Type: Technology Company | Country: Morocco
Khadija Bokhatem,Khadija,Bokhatem,,,Cybersecurity engeenier,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Cyber security
Oussama Snad,Oussama,Snad,,,Network Security Enginner,,,Morocco,,Technology | Data Centres | Cyber security
Youssef Bissakri,Youssef,Bissakri,,,Cybersecurity & Networking,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Cyber security | Blockchain | Artificial Intelligence
Soufiane Bouanane,Soufiane,Bouanane,,,expert cybersecurite,,,Morocco,,Technology | Data Centres | Cyber security
Abdelhadi ECH CHAIBI,Abdelhadi,ECH CHAIBI,,,Cybersecurity,,,Morocco,,Technology | Cyber security | Cloud Services
Ibtissam toufalla,Ibtissam,toufalla,,,Cyber Security,,,Morocco,,"Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | Media, Marketing & Advertising Tech | Cloud Services | 5G & Telecommunications | 3D Printing & Printing Services"
Aymane Sendani,Aymane,Sendani,,,Cybersecurity Student,,,Morocco,,Energy Tech | Education Tech | Data Centres | Cyber security | Cloud Services | Blockchain
Anass Moumni,Anass,Moumni,,,Offensive Security Consultant,,,Morocco,,Technology | Smart Cities | Cyber security
Rim EL BARAKA,Rim,EL BARAKA,,,Cyber Security Engineer,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Mobile Accessories & Peripherals
Safae Hamdi,Safae,Hamdi,,,Cyber security engineer,,,Morocco,,Technology | Cyber security | Artificial Intelligence
Jihad AMARA,Jihad,AMARA,,,Junior Cybersecurity Engineer,,,Morocco,,Technology | Data Centres | Cyber security
Zakaria Bennajah,Zakaria,Bennajah,,,Technology,,,Morocco,,Technology | Networking & Infrastructure | Data Centres | Cyber security
Abderrahman Al Anssari,Abderrahman,Al Anssari,,,Junior Cyber Security Analyst,,,Morocco,,Technology | Cloud Services | Artificial Intelligence
Elyakoubi Hind,Elyakoubi,Hind,,,Cybersecurity engineer,,,Morocco,,Technology | Networking & Infrastructure | Cyber security | Blockchain | 5G & Telecommunications
Abdelmoughite Naoumi,Abdelmoughite,Naoumi,,,industrial cybersecurity ingineer,,,Morocco,,Quantum & High Performance Computing | Networking & Infrastructure | Cyber security | Blockchain | Artificial Intelligence
Imane Dissi,Imane,Dissi,,,cybersecurity engineer,,,Morocco,,Networking & Infrastructure | Cyber security | Cloud Services
Fatimazahra Hamroud,Fatimazahra,Hamroud,,,Cyber Security Student,,,Morocco,,Incubator/Accelerator/Investment | Technology | Networking & Infrastructure | Cyber security
Chrifi Haytham,Chrifi,Haytham,,,Cybersecurity engineer,,,Morocco,,Technology | Networking & Infrastructure | Cyber security
Taha EL KARCHANI,Taha,EL KARCHANI,,,Cyber Security Engineer,,,Morocco,,Technology | Space Tech | Software Services | Networking & Infrastructure | Internet of Things (IOT) | HealthTech | Gaming | Education Tech | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications
Bakhaddour Ahmed,Bakhaddour,Ahmed,,,Cybersecurity engineer,,,Morocco,,Technology | Internet of Things (IOT) | Gaming | Data Centres | Cyber security
Rachid chokrani,Rachid,chokrani,,,Cybersecurity Engineer,,,Morocco,,Technology | Networking & Infrastructure | Cyber security
Yassine Drouich,Yassine,Drouich,,,Cybersecurity engineer,,,Morocco,,Technology | Networking & Infrastructure | Cyber security
Hiba Lahrouf,Hiba,Lahrouf,,,cybersecurity engineer,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Camara Vamoro,Camara,Vamoro,,,Cybersecurity Engineer,,,Morocco,,Technology | Quantum & High Performance Computing | Networking & Infrastructure | Internet of Things (IOT) | Data Centres | Cyber security | Cloud Services | Big Data & Analytics
Bilal Chouichou,Bilal,Chouichou,,,Cybersecurity engineer,,,Morocco,,Technology | Networking & Infrastructure | Internet of Things (IOT) | Gaming | Cyber security | Cloud Services
Myriam Ihrouchen,Myriam,Ihrouchen,,,Cybersecurity engineer,,,Morocco,,"Unmanned Aerial Vehicles | Technology | Software Services | Smart Cities | Networking & Infrastructure | Internet of Things (IOT) | Cyber security | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | 5G & Telecommunications"
Nour Naitalouane,Nour,Naitalouane,,,Cybersecurity engineer,,,Morocco,,Unmanned Aerial Vehicles | Technology | Software Services | Smart Cities | Networking & Infrastructure | Internet of Things (IOT) | Data Centres | Cyber security | Cloud Services | 5G & Telecommunications
Ouhannou YASSINE,Ouhannou,YASSINE,,,Cyber security engineer,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Gaming | Data Centres | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Nisrine Amesjoun,Nisrine,Amesjoun,,,IT Security Engineer,,,Morocco,,Technology | Networking & Infrastructure | HealthTech | Cyber security | Blockchain | Big Data & Analytics | Artificial Intelligence
Soulaimane sabi,Soulaimane,sabi,,,network engineer,,,Morocco,,"Technology | Space Tech | Software Services | Smart Manufacturing | Networking & Infrastructure | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | HealthTech | Gaming | Future Mobility & Transportation | Cyber security | Cloud Services | AgriTech & FoodTech | 3D Printing & Printing Services"
Abdelghafour AMJAD,Abdelghafour,AMJAD,,,Cyber Security Engineer,,,Morocco,,Technology | Space Tech | Software Services | Smart Manufacturing | Quantum & High Performance Computing | Networking & Infrastructure | Mobile Accessories & Peripherals | HealthTech | Cyber security | Cloud Services | Blockchain | Artificial Intelligence | 5G & Telecommunications
Mariam Daoudi,Mariam,Daoudi,,,Cyber Security Engineer,,,Morocco,,Incubator/Accelerator/Investment | Technology | Networking & Infrastructure | Cyber security | Cloud Services | Blockchain | Artificial Intelligence
Redoine achach,Redoine,achach,,,it engineer,,,Morocco,,Technology | Networking & Infrastructure | Cyber security | Cloud Services
Hamid nkort,Hamid,nkort,,,Cyber Security engineer,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Data Centres | Cyber security | Cloud Services
Abdessamad KERROU,Abdessamad,KERROU,,,System Engineer,,,Morocco,,Technology | Networking & Infrastructure | Cyber security
Fathallah Boumhicha,Fathallah,Boumhicha,,,IT Engineer,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain"
Ayoub El Khayati,Ayoub,El Khayati,,,Network Security Engineer,,,Morocco,,Technology | Networking & Infrastructure | Mobile Accessories & Peripherals | Internet of Things (IOT) | Cyber security
Ilyas Mahrouq,Ilyas,Mahrouq,,,Cyber security engineer,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Internet of Things (IOT) | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications
Omar Essaadi,Omar,Essaadi,,,Software Engineer,,,Morocco,,Technology | Networking & Infrastructure | Data Centres | Cyber security
Houssam Hentour,Houssam,Hentour,,,Network Engineer,,,Morocco,,"Technology | Networking & Infrastructure | Education Tech | Data Centres | Cyber security | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications"
Khalid Hanafi,Khalid,Hanafi,,,System Engineer,,,Morocco,,Technology | Quantum & High Performance Computing | Networking & Infrastructure | Data Centres | Cyber security | Cloud Services | Blockchain
Saad Elouakate,Saad,Elouakate,,,Software engineer,,,Morocco,,Technology | Software Services | Networking & Infrastructure | AR/VR/MR & Gaming | Internet of Things (IOT) | Gaming | Data Centres | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications
Ismail Bouchghel,Ismail,Bouchghel,,,Network Engineer,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Cyber security | Cloud Services | 5G & Telecommunications
Anas Elhiba,Anas,Elhiba,,,Inside Systems Engineer,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Zakaria Hnida,Zakaria,Hnida,,,System Engineer,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Amine Elbadaoui,Amine,Elbadaoui,,,Software engineer,,,Morocco,,"Technology | Space Tech | Software Services | Regulatory Technology | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Cyber security"
Noamane Dazine,Noamane,Dazine,,,Cybersecurity and Cloud engineer,,,Morocco,,Technology | Networking & Infrastructure | Data Centres | Cyber security
Reda rachikh,Reda,rachikh,,,Engineer,,,Morocco,,Technology | Networking & Infrastructure | Cyber security
Elkamouni Said,Elkamouni,Said,,,It Engineer,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Internet of Things (IOT) | Data Centres | Cyber security | Cloud Services | Big Data & Analytics
Zakaria Akdim,Zakaria,Akdim,,,Computer Engineer & Cloud Computing,,,Morocco,,Technology | Networking & Infrastructure | Cyber security
Yassine Ait Braime,Yassine,Ait Braime,,,Infrastructure Engineer,,,Morocco,,Technology | Networking & Infrastructure | Data Centres | Cyber security | Cloud Services | Artificial Intelligence
Omayma El Yamani,Omayma,El Yamani,,,Cyber Security Engineer,,,Morocco,,Technology | Networking & Infrastructure | Gaming | Cyber security | Cloud Services | Blockchain | Artificial Intelligence
Oussama Ahjli,Oussama,Ahjli,,,Cybersecurity Engineer,,,Morocco,,Cyber security | Cloud Services | Blockchain | Artificial Intelligence
Ikram MOUHSINE,Ikram,MOUHSINE,,,Cybersecurity Engineer,,,Morocco,,Job Title: Cybersecurity engineer | Industry: Technology | Company Type: Technology Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: Cybersecurity engineer ↔ Cybersecurity Engineer
Harbech MOHAMED,Harbech,MOHAMED,,,Cybersecurity Engineer,,,Morocco,,Technology | Space Tech | Software Services | Energy Tech
Ikhlas Lemrouni,Ikhlas,Lemrouni,,,Cybersecurity engineer,,,Morocco,,Technology | Regulatory Technology | Cyber security
Brahim Saada,Brahim,Saada,,,Cybersecurity Engineer,,,Morocco,,Networking & Infrastructure | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Hajar Chaira,Hajar,Chaira,,,Cybersecurity engineer,,,Morocco,,Technology | Energy Tech | Cyber security | Blockchain | Big Data & Analytics
Salma Medni,Salma,Medni,,,Cybersecurity Engineer,,,Morocco,,Internet of Things (IOT) | Education Tech | Cyber security
Oussama Bahfid,Oussama,Bahfid,,,Cybersecurity Engineer,,,Morocco,,"Technology | Space Tech | Software Services | Media, Marketing & Advertising Tech | Gaming | Future Mobility & Transportation"
Walid LARHRABLI,Walid,LARHRABLI,,,CYBERSECURITY ENGINEER,,,Morocco,,Technology | Internet of Things (IOT) | Cyber security | Artificial Intelligence | 5G & Telecommunications
Soukaina Hanane,Soukaina,Hanane,,,cybersecurity engineer,,,Morocco,,"Media, Marketing & Advertising Tech | Gaming | Artificial Intelligence | 5G & Telecommunications"
Ayoub IDOUISSAADNE,Ayoub,IDOUISSAADNE,,,CYBERSECURITY ENGINEER,,,Morocco,,Technology | Internet of Things (IOT) | Cyber security | Artificial Intelligence | 5G & Telecommunications
Salma MAANINOU,Salma,MAANINOU,,,CYBERSECURITY ENGINEER,,,Morocco,,Technology | Internet of Things (IOT) | Cyber security | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications
Salma MOUMNI,Salma,MOUMNI,,,CYBERSECURITY ENGINEER,,,Morocco,,Technology | Internet of Things (IOT) | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications
Chaimae BELCADI,Chaimae,BELCADI,,,Cybersecurity engineer,,,Morocco,,Technology | Software Services | Quantum & High Performance Computing | Internet of Things (IOT)
Fatima Zahra Lakhdim,Fatima,Zahra Lakhdim,,,Engineer,,,Morocco,,Mobile Accessories & Peripherals | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | 5G & Telecommunications
Mohammed Amine Outaleb,Mohammed,Amine Outaleb,,,It engineer,,,Morocco,,"Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications"
Ibrahim Kasmi,Ibrahim,Kasmi,,,Engineer,,,Morocco,,"Technology | Software Services | Media, Marketing & Advertising Tech | HealthTech | Ecommerce | Digital Finance | Data Centres | Cyber security | Cloud Services | Blockchain"
Ibtihal Souadka,Ibtihal,Souadka,,,Engineer,,,Morocco,,"Technology | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Networking & Infrastructure | Mobile Accessories & Peripherals | Energy Tech | Ecommerce | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Nourimane Moukkar,Nourimane,Moukkar,,,Engineer,,,Morocco,,Technology | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Networking & Infrastructure | Internet of Things (IOT) | Energy Tech | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services
Rami Haroun,Rami,Haroun,,,Engineer,,,Morocco,,Technology | Smart Cities | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Digital Finance | Data Centres | Cyber security | Big Data & Analytics | Artificial Intelligence
Ilyasse Basit,Ilyasse,Basit,,,Engineer,,,Morocco,,Technology | Software Services | Smart Cities | Networking & Infrastructure | Ecommerce | Data Centres | Cyber security | Artificial Intelligence | 5G & Telecommunications
Salma Saih,Salma,Saih,,,Engineer,,,Morocco,,Technology | Smart Cities | Networking & Infrastructure | Internet of Things (IOT) | Data Centres | Cyber security | Cloud Services | Artificial Intelligence | 5G & Telecommunications
Imane Boukhris,Imane,Boukhris,,,Engineer,,,Morocco,,"Software Services | Quantum & High Performance Computing | Networking & Infrastructure | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Ecommerce | Digital Finance | Data Centres | Consumer Tech, Smart Home & Smart Workplace | Big Data & Analytics | Artificial Intelligence"
Abdeslam el yahyaoui,Abdeslam,el yahyaoui,,,engineer,,,Morocco,,Software Services | Quantum & High Performance Computing | Networking & Infrastructure | Data Centres | Cyber security | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications
Amal chennouf,Amal,chennouf,,,Engineer,,,Morocco,,Networking & Infrastructure | Gaming | Future Mobility & Transportation | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications
Nizar rostom,Nizar,rostom,,,electrical engineer,,,Morocco,,"Technology | Space Tech | Software Services | Smart Manufacturing | Retail Tech | HealthTech | Gaming | Energy Tech | Education Tech | Data Centres | Consumer Tech, Smart Home & Smart Workplace | Artificial Intelligence | 3D Printing & Printing Services"
Abdelmounaim Azounkdi,Abdelmounaim,Azounkdi,,,Software Engineer,,,Morocco,,Incubator/Accelerator/Investment | Technology | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Data Centres | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Mohamed Amine Elkasbi,Mohamed,Amine Elkasbi,,,Engineer,,,Morocco,,Unmanned Aerial Vehicles | Technology | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation
Imad Jaba,Imad,Jaba,,,Engineer,,,Morocco,,"AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT)"
Zouhair Fezzaz,Zouhair,Fezzaz,,,Data Engineer,,,Morocco,,Technology | Software Services | Smart Cities
Rajaa CHAHBI,Rajaa,CHAHBI,,,Engineer,,,Morocco,,Space Tech | Creative Economy | Big Data & Analytics
Omar EL HORRE,Omar,EL HORRE,,,engineer,,,Morocco,,Technology | Quantum & High Performance Computing | PropTech | Gaming
Malak NAJAH EL IDRISSI,Malak,NAJAH EL IDRISSI,,,Engineer,,,Morocco,,Technology | Space Tech | Software Services
Ghalia AGHRESSI,Ghalia,AGHRESSI,,,Engineer,,,Morocco,,Technology | Space Tech | Software Services
Marwa BEDDIAF,Marwa,BEDDIAF,,,Engineer,,,Morocco,,"Technology | Sustainability & Green Climate - Tech | Consumer Tech, Smart Home & Smart Workplace"
Ibrahim Kasmi,Ibrahim,Kasmi,,,Engineer,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Retail Tech
Ihssan El moudni,Ihssan,El moudni,,,Engineer,,,Morocco,,Technology | Smart Cities | PropTech
Kawtar Elfakir,Kawtar,Elfakir,,,Engineer,,,Morocco,,Technology | Sustainability & Green Climate - Tech | Space Tech | Gaming | Artificial Intelligence | 5G & Telecommunications | 3D Printing & Printing Services
Jihane El hamdaoui,Jihane,El hamdaoui,,,engineer,,,Morocco,,Technology | Retail Tech | Networking & Infrastructure
Fouad Banan,Fouad,Banan,,,Engineer,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Smart Manufacturing
Ihssane nounah,Ihssane,nounah,,,Engineer,,,Morocco,,Technology | Space Tech | Software Services
Oumaima ELANNAB,Oumaima,ELANNAB,,,Etudiant en cyberscurit,,,Morocco,,Technology | Networking & Infrastructure | Mobile Accessories & Peripherals
Lamyae drissi elbouzaidi,Lamyae,drissi elbouzaidi,,,Engineer,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology
Oumaima amd,Oumaima,amd,,,engineer,,,Morocco,,Technology | Data Centres | Blockchain
Mousaab Ougrich,Mousaab,Ougrich,,,Engineer,,,Morocco,,Technology | Space Tech | Software Services
Yasmine Maliki,Yasmine,Maliki,,,Engineer,,,Morocco,,"Technology | Software Services | Smart Manufacturing | Networking & Infrastructure | Media, Marketing & Advertising Tech | Big Data & Analytics"
Hanaa Daoudi,Hanaa,Daoudi,,,Engineer,,,Morocco,,Incubator/Accelerator/Investment | Technology | Internet of Things (IOT) | Education Tech | Ecommerce | Artificial Intelligence
Khadija Abdoune,Khadija,Abdoune,,,Engineer,,,Morocco,,Technology | Software Services | Networking & Infrastructure | Cloud Services | Big Data & Analytics | Artificial Intelligence | 5G & Telecommunications
Yassine Chalati,Yassine,Chalati,,,engineer,,,Morocco,,Technology | Cyber security | Cloud Services
Fatima Ezzahra IGHIL,Fatima,Ezzahra IGHIL,,,Engineer,,,Morocco,,Technology | Space Tech | Software Services
Hanane BENHAIMOUD,Hanane,BENHAIMOUD,,,Engineer,,,Morocco,,"Technology | Software Services | Media, Marketing & Advertising Tech | Big Data & Analytics"
Ghita MOUNIB,Ghita,MOUNIB,,,Engineer,,,Morocco,,Technology | Cloud Services | Big Data & Analytics
Imane Samih,Imane,Samih,,,Engineer,,,Morocco,,Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Future Mobility & Transportation
Youssef Fatri,Youssef,Fatri,,,Engineer,,,Morocco,,Technology | Quantum & High Performance Computing | Networking & Infrastructure | Cyber security | Blockchain
Malak Berrada,Malak,Berrada,,,Engineer,,,Morocco,,Technology | Space Tech | Software Services
